151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,role
,,,,,We understand the need for platform investment but it's hard to prioritise against feature requests.,Dependencies between teams cause constant delays. Simple features take months to deliver.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Communication with engineering is improving but we don't always understand the technical trade-offs.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,,,,,,,,,,,,,,,,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Communication with engineering is improving but we don't always understand the technical trade-offs.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Technical complexity is leaking into product decisions. We have to design around system limitations.,Team autonomy has improved. Squads can make more decisions without escalating everything.,,,,,,,,,,,,,,,,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Dependencies between teams cause constant delays. Simple features take months to deliver.,,,,,,,,,,,,,,,,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,,,,,,,,,,,,,,,,,We understand the need for platform investment but it's hard to prioritise against feature requests.,Team autonomy has improved. Squads can make more decisions without escalating everything.,Technical complexity is leaking into product decisions. We have to design around system limitations.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",,,,,,,,,,,,,,,,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,,,,,,,,,,,Product
,,,,,Team autonomy has improved. Squads can make more decisions without escalating everything.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Communication with engineering is improving but we don't always understand the technical trade-offs.,,,,,,,,,,,,,,,,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Dependencies between teams cause constant delays. Simple features take months to deliver.,Technical complexity is leaking into product decisions. We have to design around system limitations.,We understand the need for platform investment but it's hard to prioritise against feature requests.,,,,,,,,,,,,,,,,Technical complexity is leaking into product decisions. We have to design around system limitations.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,We understand the need for platform investment but it's hard to prioritise against feature requests.,,,,,,,,,,,,,,,,Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Technical complexity is leaking into product decisions. We have to design around system limitations.,,,,,,,,,,,,,,,,,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,,,,,,,,,,,,,,,,Team autonomy has improved. Squads can make more decisions without escalating everything.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",,,,,,,,,,,Product
,,,,,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Team autonomy has improved. Squads can make more decisions without escalating everything.,Technical complexity is leaking into product decisions. We have to design around system limitations.,Communication with engineering is improving but we don't always understand the technical trade-offs.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",,,,,,,,,,,,,,,,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Dependencies between teams cause constant delays. Simple features take months to deliver.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",,,,,,,,,,,,,,,,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,We understand the need for platform investment but it's hard to prioritise against feature requests.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,,,,,,,,,,,,,,,,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Technical complexity is leaking into product decisions. We have to design around system limitations.,,,,,,,,,,,,,,,,,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.","Some teams deliver quickly, others are constantly blocked. Consistency is the issue.","Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",,,,,,,,,,,,,,,,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,,,,,,,,,,,Product
,,,,,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Team autonomy has improved. Squads can make more decisions without escalating everything.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",,,,,,,,,,,,,,,,Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,,,,,,,,,,,,,,,,Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,Dependencies between teams cause constant delays. Simple features take months to deliver.,Technical complexity is leaking into product decisions. We have to design around system limitations.,Communication with engineering is improving but we don't always understand the technical trade-offs.,Technical complexity is leaking into product decisions. We have to design around system limitations.,,,,,,,,,,,,,,,,Dependencies between teams cause constant delays. Simple features take months to deliver.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,We understand the need for platform investment but it's hard to prioritise against feature requests.,,,,,,,,,,,,,,,,,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,We understand the need for platform investment but it's hard to prioritise against feature requests.,We understand the need for platform investment but it's hard to prioritise against feature requests.,Communication with engineering is improving but we don't always understand the technical trade-offs.,We understand the need for platform investment but it's hard to prioritise against feature requests.,,,,,,,,,,,,,,,,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,We understand the need for platform investment but it's hard to prioritise against feature requests.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,We understand the need for platform investment but it's hard to prioritise against feature requests.,We understand the need for platform investment but it's hard to prioritise against feature requests.,,,,,,,,,,,Product
,,,,,Dependencies between teams cause constant delays. Simple features take months to deliver.,Dependencies between teams cause constant delays. Simple features take months to deliver.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Dependencies between teams cause constant delays. Simple features take months to deliver.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,,,,,,,,,,,,,,,,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",We understand the need for platform investment but it's hard to prioritise against feature requests.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,,,,,,,,,,,,,,,,Technical complexity is leaking into product decisions. We have to design around system limitations.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,,,,,,,,,,,,,,,,Technical complexity is leaking into product decisions. We have to design around system limitations.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Technical complexity is leaking into product decisions. We have to design around system limitations.,We understand the need for platform investment but it's hard to prioritise against feature requests.,,,,,,,,,,,,,,,,,We understand the need for platform investment but it's hard to prioritise against feature requests.,Communication with engineering is improving but we don't always understand the technical trade-offs.,Dependencies between teams cause constant delays. Simple features take months to deliver.,We understand the need for platform investment but it's hard to prioritise against feature requests.,Dependencies between teams cause constant delays. Simple features take months to deliver.,,,,,,,,,,,,,,,,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Dependencies between teams cause constant delays. Simple features take months to deliver.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Team autonomy has improved. Squads can make more decisions without escalating everything.,,,,,,,,,,,Product
,,,,,Communication with engineering is improving but we don't always understand the technical trade-offs.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,,,,,,,,,,,,,,,,Technical complexity is leaking into product decisions. We have to design around system limitations.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Technical complexity is leaking into product decisions. We have to design around system limitations.,,,,,,,,,,,,,,,,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,We understand the need for platform investment but it's hard to prioritise against feature requests.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",We understand the need for platform investment but it's hard to prioritise against feature requests.,,,,,,,,,,,,,,,,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Dependencies between teams cause constant delays. Simple features take months to deliver.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,,,,,,,,,,,,,,,,,Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,Dependencies between teams cause constant delays. Simple features take months to deliver.,,,,,,,,,,,,,,,,Communication with engineering is improving but we don't always understand the technical trade-offs.,Communication with engineering is improving but we don't always understand the technical trade-offs.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Communication with engineering is improving but we don't always understand the technical trade-offs.,Dependencies between teams cause constant delays. Simple features take months to deliver.,,,,,,,,,,,Product
,,,,,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,Team autonomy has improved. Squads can make more decisions without escalating everything.,Communication with engineering is improving but we don't always understand the technical trade-offs.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,,,,,,,,,,,,,,,,Team autonomy has improved. Squads can make more decisions without escalating everything.,Communication with engineering is improving but we don't always understand the technical trade-offs.,Communication with engineering is improving but we don't always understand the technical trade-offs.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,,,,,,,,,,,,,,,,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Technical complexity is leaking into product decisions. We have to design around system limitations.,Team autonomy has improved. Squads can make more decisions without escalating everything.,,,,,,,,,,,,,,,,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",,,,,,,,,,,,,,,,,Dependencies between teams cause constant delays. Simple features take months to deliver.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Team autonomy has improved. Squads can make more decisions without escalating everything.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Team autonomy has improved. Squads can make more decisions without escalating everything.,,,,,,,,,,,,,,,,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,Dependencies between teams cause constant delays. Simple features take months to deliver.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,We understand the need for platform investment but it's hard to prioritise against feature requests.,,,,,,,,,,,Product
,,,,,Team autonomy has improved. Squads can make more decisions without escalating everything.,We see slow release cycles and integration issues constantly. Hard to adapt to market changes.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,"Some teams deliver quickly, others are constantly blocked. Consistency is the issue.",,,,,,,,,,,,,,,,Communication with engineering is improving but we don't always understand the technical trade-offs.,We understand the need for platform investment but it's hard to prioritise against feature requests.,Communication with engineering is improving but we don't always understand the technical trade-offs.,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Communication with engineering is improving but we don't always understand the technical trade-offs.,,,,,,,,,,,,,,,,We understand the need for platform investment but it's hard to prioritise against feature requests.,Team autonomy has improved. Squads can make more decisions without escalating everything.,Technical complexity is leaking into product decisions. We have to design around system limitations.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,,,,,,,,,,,,,,,,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,Dependencies between teams cause constant delays. Simple features take months to deliver.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,,,,,,,,,,,,,,,,,Technical complexity is leaking into product decisions. We have to design around system limitations.,Communication with engineering is improving but we don't always understand the technical trade-offs.,Platform limitations are directly impacting our ability to serve customers. Personalisation and localisation are blocked.,The shift toward composable architecture makes sense for our roadmap. It will unlock features we've been waiting to build.,Engineering has been responsive to our needs. The recent platform improvements are helping us deliver faster.,,,,,,,,,,,,,,,,Cross-functional collaboration is better than it was. We're involved earlier in technical discussions.,Delivery speed is okay but could be better. We often have to compromise scope due to technical constraints.,Technical complexity is leaking into product decisions. We have to design around system limitations.,Dependencies between teams cause constant delays. Simple features take months to deliver.,Communication with engineering is improving but we don't always understand the technical trade-offs.,,,,,,,,,,,Product
,,,,,,,,,,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,The migration timeline feels unclear. Hard to plan business initiatives around it.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,,,,,,,,,,,,,,,,The migration timeline feels unclear. Hard to plan business initiatives around it.,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,,,,,,,,,,,,,,,,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,,,,,,,,,,,,,,,,Technology constraints aren't always visible to us. We'd benefit from more transparency.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Technical constraints are not always communicated clearly. We get surprised by delays.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,,,,,,,,,,,,,,,,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",We're seeing early wins from the modularisation work. Integration with partners is getting easier.,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,,,,,,,,,,,,,,,,Technology constraints aren't always visible to us. We'd benefit from more transparency.,Leadership is clearly committed to this transformation. We have the sponsorship we need.,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",Technical constraints are not always communicated clearly. We get surprised by delays.,We don't have confidence in the current platform's ability to scale with business growth.,,,,,,Business
,,,,,,,,,,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,The migration timeline feels unclear. Hard to plan business initiatives around it.,Leadership is clearly committed to this transformation. We have the sponsorship we need.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,We don't have confidence in the current platform's ability to scale with business growth.,,,,,,,,,,,,,,,,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",Technology constraints aren't always visible to us. We'd benefit from more transparency.,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,Leadership is clearly committed to this transformation. We have the sponsorship we need.,The migration timeline feels unclear. Hard to plan business initiatives around it.,,,,,,,,,,,,,,,,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,Technical constraints are not always communicated clearly. We get surprised by delays.,Release processes seem to hinder rather than help. Simple changes take too long to go live.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,The migration timeline feels unclear. Hard to plan business initiatives around it.,,,,,,,,,,,,,,,,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,The migration timeline feels unclear. Hard to plan business initiatives around it.,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",The migration timeline feels unclear. Hard to plan business initiatives around it.,The migration timeline feels unclear. Hard to plan business initiatives around it.,,,,,,,,,,,,,,,,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",Technology constraints aren't always visible to us. We'd benefit from more transparency.,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",Leadership is clearly committed to this transformation. We have the sponsorship we need.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,,,,,,,,,,,,,,,,Technical constraints are not always communicated clearly. We get surprised by delays.,The migration timeline feels unclear. Hard to plan business initiatives around it.,Leadership is clearly committed to this transformation. We have the sponsorship we need.,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,,,,,,Business
,,,,,,,,,,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,The migration timeline feels unclear. Hard to plan business initiatives around it.,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,,,,,,,,,,,,,,,,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Technical constraints are not always communicated clearly. We get surprised by delays.,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,Leadership is clearly committed to this transformation. We have the sponsorship we need.,,,,,,,,,,,,,,,,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,,,,,,,,,,,,,,,,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,The migration timeline feels unclear. Hard to plan business initiatives around it.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,,,,,,,,,,,,,,,,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,,,,,,,,,,,,,,,,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",We don't have confidence in the current platform's ability to scale with business growth.,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",The migration timeline feels unclear. Hard to plan business initiatives around it.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,,,,,,Business
,,,,,,,,,,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.","The potential benefits are clear - faster time to market, better customer experience, reduced costs.",The migration timeline feels unclear. Hard to plan business initiatives around it.,The migration timeline feels unclear. Hard to plan business initiatives around it.,Leadership is clearly committed to this transformation. We have the sponsorship we need.,,,,,,,,,,,,,,,,Technical constraints are not always communicated clearly. We get surprised by delays.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Release processes seem to hinder rather than help. Simple changes take too long to go live.,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,,,,,,,,,,,,,,,,"The potential benefits are clear - faster time to market, better customer experience, reduced costs.",The migration timeline feels unclear. Hard to plan business initiatives around it.,The migration timeline feels unclear. Hard to plan business initiatives around it.,The migration timeline feels unclear. Hard to plan business initiatives around it.,The migration timeline feels unclear. Hard to plan business initiatives around it.,,,,,,,,,,,,,,,,Data access is a constant struggle. We rely heavily on engineering for reports that should be self-service.,Platform limitations hurt us directly - especially personalisation and localisation capabilities.,The migration timeline feels unclear. Hard to plan business initiatives around it.,We don't have confidence in the current platform's ability to scale with business growth.,Leadership is clearly committed to this transformation. We have the sponsorship we need.,,,,,,,,,,,,,,,,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,Technical constraints are not always communicated clearly. We get surprised by delays.,The migration timeline feels unclear. Hard to plan business initiatives around it.,,,,,,,,,,,,,,,,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,Technology constraints aren't always visible to us. We'd benefit from more transparency.,We understand the need for platform investment but need clearer ROI metrics to justify the cost.,We're seeing early wins from the modularisation work. Integration with partners is getting easier.,,,,,,Business
,,,,,,,,,,,,,,,We're committed to this investment. The strategic case for modernisation is clear and well-understood.,Early results from pilot projects are encouraging. The approach is sound.,Our teams have the capability to execute this. We need to create the right conditions for success.,Change management will be critical. Not everyone is equally ready for new ways of working.,We're committed to this investment. The strategic case for modernisation is clear and well-understood.,,,,,,,,,,,,,,,,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,Concerned about execution risk. Past initiatives have overrun timelines and budgets.,Cross-functional alignment is improving. Regular steering meetings help keep everyone informed.,Change management will be critical. Not everyone is equally ready for new ways of working.,Cross-functional alignment is improving. Regular steering meetings help keep everyone informed.,,,,,,,,,,,,,,,,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,Technical debt has accumulated over years. Addressing it will require sustained investment.,ROI clarity would help with board conversations. We need better metrics for platform investment.,Technical debt has accumulated over years. Addressing it will require sustained investment.,Technical debt has accumulated over years. Addressing it will require sustained investment.,,,,,,,,,,,,,,,,Cross-functional alignment is improving. Regular steering meetings help keep everyone informed.,Technical debt has accumulated over years. Addressing it will require sustained investment.,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,Cultural resistance in some areas may slow us down. Not everyone sees the need for change.,,,,,,,,,,,,,,,,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,Change management will be critical. Not everyone is equally ready for new ways of working.,We're committed to this investment. The strategic case for modernisation is clear and well-understood.,We're committed to this investment. The strategic case for modernisation is clear and well-understood.,ROI clarity would help with board conversations. We need better metrics for platform investment.,,,,,,,,,,,,,,,,ROI clarity would help with board conversations. We need better metrics for platform investment.,Change management will be critical. Not everyone is equally ready for new ways of working.,Cross-functional alignment is improving. Regular steering meetings help keep everyone informed.,We're committed to this investment. The strategic case for modernisation is clear and well-understood.,Concerned about execution risk. Past initiatives have overrun timelines and budgets.,Leadership
,,,,,,,,,,,,,,,We understand the technical challenges at a high level. Need to balance platform work with business delivery.,Cross-functional alignment is improving. Regular steering meetings help keep everyone informed.,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,Technical debt has accumulated over years. Addressing it will require sustained investment.,We're committed to this investment. The strategic case for modernisation is clear and well-understood.,,,,,,,,,,,,,,,,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,Early results from pilot projects are encouraging. The approach is sound.,Change management will be critical. Not everyone is equally ready for new ways of working.,ROI clarity would help with board conversations. We need better metrics for platform investment.,We understand the technical challenges at a high level. Need to balance platform work with business delivery.,,,,,,,,,,,,,,,,Change management will be critical. Not everyone is equally ready for new ways of working.,Cultural resistance in some areas may slow us down. Not everyone sees the need for change.,We're committed to this investment. The strategic case for modernisation is clear and well-understood.,Change management will be critical. Not everyone is equally ready for new ways of working.,We understand the technical challenges at a high level. Need to balance platform work with business delivery.,,,,,,,,,,,,,,,,Early results from pilot projects are encouraging. The approach is sound.,We're committed to this investment. The strategic case for modernisation is clear and well-understood.,Our teams have the capability to execute this. We need to create the right conditions for success.,Change management will be critical. Not everyone is equally ready for new ways of working.,Change management will be critical. Not everyone is equally ready for new ways of working.,,,,,,,,,,,,,,,,Change management will be critical. Not everyone is equally ready for new ways of working.,Cross-functional alignment is improving. Regular steering meetings help keep everyone informed.,Technical debt has accumulated over years. Addressing it will require sustained investment.,ROI clarity would help with board conversations. We need better metrics for platform investment.,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,,,,,,,,,,,,,,,,Cultural resistance in some areas may slow us down. Not everyone sees the need for change.,Risk is manageable if we take a phased approach. We can't afford a big-bang migration.,We understand the technical challenges at a high level. Need to balance platform work with business delivery.,Cross-functional alignment is improving. Regular steering meetings help keep everyone informed.,Cultural resistance in some areas may slow us down. Not everyone sees the need for change.,Leadership
