ID,Question,Category,Critical,Engineering,Product,Business,Leadership,Type,Question Type,Theme,Weight
34,We can scale teams without scaling coordination overhead.,Team Capability,TRUE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Delivery Friction,1
35,Engineers are confident working with infrastructure-as-code.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Technical Confidence,1
36,Teams are exposed to business context regularly.,Team Capability,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,,1
37,There is a habit of experimentation and fast iteration.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Platform vs. Feature Tension,1
38,The team structure supports cross-functional delivery.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Cross-Functional Alignment,1
39,New engineers can ship code within their first weeks.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
40,There is a mentorship or peer review culture.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Readiness for Change,1
41,Engineers are involved in architectural decisions.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
42,Knowledge is not concentrated in a few individuals.,Team Capability,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
43,Engineers understand service boundaries.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
44,People are encouraged to speak up about system limitations.,Team Capability,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Delivery Friction,1
45,"Engineering leads encourage clean, testable code.",Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Technical Confidence,1
46,Feature work includes time for technical improvements.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Platform vs. Feature Tension,1
47,Teams can say “no” to unreasonable deadlines.,Team Capability,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Platform vs. Feature Tension,1
48,There’s comfort with breaking down complex systems.,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Clear Ownership,1
49,The org supports skill development time.,Team Capability,FALSE,TRUE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Platform vs. Feature Tension,1
50,The team can own systems long-term.,Team Capability,TRUE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Clear Ownership,1
51,Ownership boundaries between teams and systems are clearly defined.,Governance & Delivery,TRUE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Clear Ownership,1
52,"Teams follow a “you build it, you run it” model.",Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Delivery Friction,1
53,Services can be deployed independently.,Governance & Delivery,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
54,We have CI/CD pipelines for all major systems.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Testing & Quality,1
55,Release processes are documented and automated.,Governance & Delivery,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
56,Business leaders are aware of key technical bottlenecks that limit growth or innovation.,Governance & Delivery,TRUE,FALSE,FALSE,TRUE,TRUE,Quantitative,Multiple choice,Technical Confidence,1
57,Non-functional requirements are part of definition of done.,Governance & Delivery,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Testing & Quality,1
58,Governance policies are flexible and enable delivery.,Governance & Delivery,FALSE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Testing & Quality,1
59,System owners are known and contactable.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Clear Ownership,1
60,Decision-making is decentralised when it makes sense.,Governance & Delivery,FALSE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Strategic Sponsorship,1
61,Releases are not delayed due to cross-team dependencies.,Governance & Delivery,TRUE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Cross-Functional Alignment,1
62,Critical incidents are reviewed and fed back into delivery.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Testing & Quality,1
63,Teams can make decisions without long approval cycles.,Governance & Delivery,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
64,There is versioning and backward compatibility for APIs.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
65,Technical changes can be traced to business goals.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Readiness for Change,1
66,There’s an active feedback loop between tech and governance.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,,1
67,Metrics for deployment frequency and lead time are tracked.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Autonomy & Empowerment,1
68,There is clarity on the governance of shared components.,Governance & Delivery,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
69,Cross-functional initiatives don’t stall due to unclear ownership.,Governance & Delivery,FALSE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Clear Ownership,1
70,Risk is identified and mitigated early in delivery.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Strategic Sponsorship,1
71,Testing strategies are part of the delivery lifecycle.,Governance & Delivery,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Testing & Quality,1
72,"Observability is a shared responsibility, not an afterthought.",Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
73,There are champions for best practices in delivery.,Governance & Delivery,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
74,Compliance and audit needs are not a blocker.,Governance & Delivery,FALSE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Delivery Friction,1
75,Service quality is monitored and prioritised.,Governance & Delivery,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
76,Our systems use consistent API patterns.,Integration & Data Readiness,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
77,Integration points are documented and versioned.,Integration & Data Readiness,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
78,We use modern authentication and authorisation standards.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Technical Confidence,1
79,New services can be onboarded with minimal effort.,Integration & Data Readiness,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
80,There is a central catalogue of APIs or integrations.,Integration & Data Readiness,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,Composable Integration,1
81,Data schemas are governed and not duplicated across services.,Integration & Data Readiness,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Cross-Functional Alignment,1
82,We use an event streaming system.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
83,We can integrate SaaS tools without major workarounds.,Integration & Data Readiness,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,,1
84,Data pipelines are reliable and observable.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Data Trust & Stewardship,1
85,Master data is clearly defined across domains.,Integration & Data Readiness,TRUE,TRUE,FALSE,TRUE,FALSE,Quantitative,Multiple choice,Cross-Functional Alignment,1
86,Data contracts are enforced across services.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Cross-Functional Alignment,1
87,Integrations are designed with resilience and retries in mind.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
88,Legacy system data is well understood and mapped.,Integration & Data Readiness,TRUE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Legacy Constraints,1
89,There are SLAs/SLOs for key integrations.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
90,Data is accessible to analytics without engineering bottlenecks.,Integration & Data Readiness,TRUE,TRUE,FALSE,TRUE,FALSE,Quantitative,Multiple choice,Data Trust & Stewardship,1
91,We support real-time or near-real-time data flows.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Data Trust & Stewardship,1
92,Data ownership is defined per domain.,Integration & Data Readiness,FALSE,TRUE,FALSE,TRUE,FALSE,Quantitative,Multiple choice,Clear Ownership,1
93,We track lineage of critical data flows.,Integration & Data Readiness,FALSE,TRUE,FALSE,TRUE,FALSE,Quantitative,Multiple choice,Data Trust & Stewardship,1
94,We have a shared understanding across departments of what success looks like for this migration.,Integration & Data Readiness,TRUE,FALSE,FALSE,TRUE,TRUE,Quantitative,Multiple choice,Cross-Functional Alignment,1
95,Integration errors can be detected and resolved quickly.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
96,Event-driven design is encouraged where appropriate.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
97,Data silos are actively being addressed.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Data Trust & Stewardship,1
98,We use service meshes or gateways for managing integrations.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,,1
99,Our integration strategy is documented and understood.,Integration & Data Readiness,FALSE,TRUE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,,1
100,Data duplication is minimised through federation or shared services.,Integration & Data Readiness,FALSE,TRUE,FALSE,FALSE,FALSE,Quantitative,Multiple choice,Data Trust & Stewardship,1
101,Composable architecture is aligned with company strategy.,Business Alignment & Strategy,TRUE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,,1
102,There is a strong executive sponsor for platform modernisation.,Business Alignment & Strategy,TRUE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Strategic Sponsorship,1
103,The business has a clear understanding of the benefits and trade-offs.,Business Alignment & Strategy,TRUE,FALSE,FALSE,TRUE,FALSE,Quantitative,Multiple choice,,1
104,Product and tech share a roadmap and vision.,Business Alignment & Strategy,TRUE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,,1
105,Funding exists for foundational infrastructure work.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Strategic Sponsorship,1
106,Stakeholders understand how modular platforms enable faster delivery.,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,FALSE,Quantitative,Multiple choice,,1
107,Migration efforts are prioritised in the roadmap.,Business Alignment & Strategy,TRUE,FALSE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,,1
108,The business is willing to defer features for platform readiness.,Business Alignment & Strategy,TRUE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Platform vs. Feature Tension,1
109,Business goals are translated into tech requirements effectively.,Business Alignment & Strategy,FALSE,FALSE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,,1
110,Teams have the autonomy to pursue strategic tech work.,Business Alignment & Strategy,FALSE,TRUE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Autonomy & Empowerment,1
111,There is a realistic expectation for migration timelines.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,,1
112,Migration success metrics are defined.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,,1
113,Stakeholders are aware of the current architectural bottlenecks.,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,TRUE,Quantitative,Multiple choice,,1
114,Risks of not migrating are understood by senior leaders.,Business Alignment & Strategy,TRUE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,,1
115,There is clarity on how to evaluate ROI of platform investment.,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,TRUE,Quantitative,Multiple choice,,1
116,The business doesn’t over-index on vendor lock-in.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,,1
117,Composable architecture has been validated through prototypes or PoCs.,Business Alignment & Strategy,FALSE,TRUE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,,1
118,Business owns part of the migration success criteria.,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,FALSE,Quantitative,Multiple choice,Clear Ownership,1
119,Dependencies between teams are mapped to business outcomes.,Business Alignment & Strategy,FALSE,FALSE,TRUE,FALSE,FALSE,Quantitative,Multiple choice,,1
120,The leadership team reviews technical progress regularly.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Strategic Sponsorship,1
121,The platform roadmap is communicated transparently.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,,1
122,Business leaders are open to rethinking operating models.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,,1
123,There is a cross-functional steering group for the migration.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Cross-Functional Alignment,1
124,Business understands the concept of capabilities vs. features.,Business Alignment & Strategy,FALSE,FALSE,FALSE,TRUE,FALSE,Quantitative,Multiple choice,,1
125,Leadership encourages reuse of capabilities over duplication.,Business Alignment & Strategy,FALSE,FALSE,FALSE,FALSE,TRUE,Quantitative,Multiple choice,Strategic Sponsorship,1
126,There is openness to change across the organisation.,Cultural Readiness,TRUE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,Cross-Functional Alignment,1
127,People are comfortable working in ambiguity.,Cultural Readiness,TRUE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
128,Teams have a growth mindset and seek continuous improvement.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
129,Failure is seen as a learning opportunity.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
130,Cross-team communication is strong.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,Cross-Functional Alignment,1
131,Legacy systems are not emotionally defended.,Cultural Readiness,TRUE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,Legacy Constraints,1
132,People understand the rationale for the migration.,Cultural Readiness,TRUE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
133,There are internal champions for change.,Cultural Readiness,TRUE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,Readiness for Change,1
134,"Resistance is surfaced and discussed, not hidden.",Cultural Readiness,TRUE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Readiness for Change,1
135,Celebrating wins is part of the change process.,Cultural Readiness,FALSE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Readiness for Change,1
136,There is shared language around tech and product vision.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
137,The organisation has navigated change well in the past.,Cultural Readiness,FALSE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Readiness for Change,1
138,People have opportunities to shape the future state.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
139,Product and engineering respect each other’s domain.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
140,Conflicts are resolved constructively.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
141,There are mechanisms for feedback beyond surveys.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
142,People feel psychologically safe to speak up.,Cultural Readiness,TRUE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
143,Teams are proud of what they build.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
144,Leadership models the behaviour they ask for.,Cultural Readiness,FALSE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Strategic Sponsorship,1
145,People have time to learn and adapt.,Cultural Readiness,TRUE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
146,Change is communicated with empathy and clarity.,Cultural Readiness,FALSE,TRUE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,Readiness for Change,1
147,There is organisational energy behind the migration.,Cultural Readiness,TRUE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
148,Innovation is encouraged even in core platforms.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
149,There’s transparency about trade-offs and priorities.,Cultural Readiness,FALSE,FALSE,TRUE,FALSE,TRUE,Quantitative,Multiple choice,,1
150,There is enthusiasm about the future architecture.,Cultural Readiness,FALSE,TRUE,TRUE,TRUE,TRUE,Quantitative,Multiple choice,,1
151,"Which parts of the current architecture are hardest to change, and why?",Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
152,Are there any areas of the system that are already modular or well-isolated?,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
153,"How confident are you in the current state of documentation for services, APIs, or integration points?",Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
154,What technical constraints or debt would most likely block a migration to composable architecture?,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
155,What architectural changes do you believe would deliver the biggest impact with the least disruption?,Architecture & Technology,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
156,How well do you understand the boundaries of the current system — where features live and who owns them?,Architecture & Technology,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
157,Are there areas where product delivery is slowed by technical complexity or dependencies?,Architecture & Technology,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
158,How often are technical limitations shaping or restricting your roadmap?,Architecture & Technology,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
159,What trade-offs have you had to make recently due to architectural bottlenecks?,Architecture & Technology,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
160,"If you could “break off” one part of the monolith to move faster, what would it be?",Architecture & Technology,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
161,Which parts of the current platform are most important to your team’s work?,Architecture & Technology,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
162,Have you encountered situations where the platform limited your ability to serve customers or innovate?,Architecture & Technology,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
163,"How visible is platform stability, performance, or capability to your team or department?",Architecture & Technology,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
164,"If we modernised the platform, what business outcomes would you expect to see improve?",Architecture & Technology,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
165,Are there legacy systems or dependencies that your team relies on heavily?,Architecture & Technology,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
166,What’s your view on the current platform’s ability to scale with business growth?,Architecture & Technology,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
167,Where do you see the biggest architectural risks to delivering on our long-term strategy?,Architecture & Technology,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
168,How confident are you that we can decouple key business capabilities from the existing monolith?,Architecture & Technology,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
169,What’s your appetite for investing in foundational platform work versus feature delivery?,Architecture & Technology,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
170,"Are there areas where you feel we’re “stuck” in the current stack, and what’s holding us back?",Architecture & Technology,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
171,What skills or experience do you think the team is currently missing to work effectively in a composable architecture?,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
172,Are there specific areas of the current system where your team lacks confidence in making changes? Why?,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
173,What would you change in our team setup or tooling to improve autonomy and speed of delivery?,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
174,How well do you think we collaborate with other teams when delivering cross-cutting features?,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
175,Are there any examples where engineering process or culture helped (or hindered) your ability to ship quality software?,Team Capability,FALSE,TRUE,FALSE,FALSE,FALSE,Qualitative,Paragraph,,0
176,How does the current team setup impact your ability to deliver quickly and iteratively?,Team Capability,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
177,Are there recurring coordination issues between teams that slow down delivery?,Team Capability,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
178,Where do you see opportunities to increase delivery team autonomy?,Team Capability,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
179,Do you feel teams have the right context and visibility to make decisions independently?,Team Capability,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
180,How often do you need to compromise roadmap goals because of technical or organisational limitations?,Team Capability,FALSE,FALSE,TRUE,FALSE,FALSE,Qualitative,Paragraph,,0
181,"From your perspective, how well do delivery teams understand the business context behind their work?",Team Capability,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
182,Are there any delivery-related blockers or delays that impact your team or customers directly?,Team Capability,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
183,What level of confidence do you have in our teams’ ability to respond quickly to change?,Team Capability,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
184,Where would increased team autonomy create the most value for the business?,Team Capability,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
185,Do you feel there are communication or handover issues between technical and non-technical teams?,Team Capability,FALSE,FALSE,FALSE,TRUE,FALSE,Qualitative,Paragraph,,0
186,How well do you think our current delivery structure supports agility and accountability?,Team Capability,FALSE,FALSE,FALSE,FALSE,TRUE,Qualitative,Paragraph,,0
